BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-IN  CONGRESS CATERING,1/3/2017,1/28/2017,FOOD & BEVERAGE,4460,2017,CITI PCARD-IN  CONGRESS CATERING
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-BETHESDA BAGELS,1/29/2017,2/28/2017,FOOD & BEVERAGE,2217.67,2017,CITI PCARD-BETHESDA BAGELS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-MAIN EVENT CATERERS,1/29/2017,2/28/2017,FOOD & BEVERAGE,1459,2017,CITI PCARD-MAIN EVENT CATERERS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-BETHESDA BAGELS,11/29/2016,12/28/2016,FOOD & BEVERAGE,1912.99,2016,CITI PCARD-BETHESDA BAGELS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CARMINE'S,11/29/2016,12/28/2016,FOOD & BEVERAGE,1890.49,2016,CITI PCARD-CARMINE'S
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HARRIS TEETER,11/29/2016,12/28/2016,FOOD & BEVERAGE,1778.9,2016,CITI PCARD-HARRIS TEETER
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-SAINT GERMAIN CATERING,11/29/2016,12/28/2016,FOOD & BEVERAGE,5865.1,2016,CITI PCARD-SAINT GERMAIN CATERING
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,E0479344,ARAMARK REFRESHMENT SERVICES,1/6/2017,1/6/2017,FOOD & BEVERAGE,1551.52,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/30/2017,AP,E0483411,ARAMARK REFRESHMENT SERVICES,3/1/2017,12/31/2017,FOOD & BEVERAGE,1080,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/13/2017,AP,E0487848,ARAMARK REFRESHMENT SERVICES,2/3/2017,2/3/2017,FOOD & BEVERAGE,2767.95,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/15/2017,AP,E0487851,CAPITOL  HOST,2/9/2017,2/9/2017,FOOD & BEVERAGE,1392.15,2017,CAPITOL  HOST
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CHICK-FIL-A,1/3/2017,1/28/2017,FOOD & BEVERAGE,3318.18,2017,CITI PCARD-CHICK-FIL-A
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CORNER BAKERY,1/3/2017,1/28/2017,FOOD & BEVERAGE,1458.45,2017,CITI PCARD-CORNER BAKERY
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CHICK-FIL-A,1/29/2017,2/28/2017,FOOD & BEVERAGE,2677.75,2017,CITI PCARD-CHICK-FIL-A
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CORNER BAKERY,1/29/2017,2/28/2017,FOOD & BEVERAGE,1503.6,2017,CITI PCARD-CORNER BAKERY
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/3/2017,AP,E0472799,HODSON NATHAN,12/21/2016,12/21/2016,FOOD & BEVERAGE,1057.13,2016,HODSON NATHAN
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/12/2017,AP,E0477217,ARAMARK REFRESHMENT SERVICES,12/12/2016,12/12/2016,FOOD & BEVERAGE,1643.5,2016,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CHICK-FIL-A,11/29/2016,12/28/2016,FOOD & BEVERAGE,2594.25,2016,CITI PCARD-CHICK-FIL-A
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CORNER BAKERY,11/29/2016,12/28/2016,FOOD & BEVERAGE,2014.95,2016,CITI PCARD-CORNER BAKERY
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-WE THE PIZZA,12/29/2016,1/2/2017,FOOD & BEVERAGE,2864.72,2017,CITI PCARD-WE THE PIZZA
,CLERK OF THE HOUSE,2017Q1,RECEPTIONS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CAPITOL HOST,1/29/2017,2/28/2017,FOOD & BEVERAGE,1011.89,2017,CITI PCARD-CAPITOL HOST
,CLERK OF THE HOUSE,2017Q1,FAMILY ROOM,SUPPLIES AND MATERIALS,2/14/2017,AP,E0487315,CAPITOL  HOST,1/3/2017,1/3/2017,FOOD & BEVERAGE,4158.58,2017,CAPITOL  HOST
,CLERK OF THE HOUSE,2017Q1,FAMILY ROOM,SUPPLIES AND MATERIALS,3/20/2017,AP,E0497001,CAPITOL  HOST,2/28/2017,2/28/2017,FOOD & BEVERAGE,4171.61,2017,CAPITOL  HOST
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,SUPPLIES AND MATERIALS,1/11/2017,AP,E0474248,OCCASIONS CATERERS INC,11/15/2016,11/15/2016,FOOD & BEVERAGE,19135,2016,OCCASIONS CATERERS INC
,NEW MEMBER ORIENTATION,2017Q1,NEW MEMBERS ORIENTATION,SUPPLIES AND MATERIALS,2/14/2017,AP,E0486132,DESIGN CUISINE,11/15/2016,11/15/2016,FOOD & BEVERAGE,13038.7,2016,DESIGN CUISINE
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/5/2017,AP,E0470980,ARAMARK BUSINESS SERVICES,12/10/2016,12/10/2016,FOOD & BEVERAGE,2038.08,2016,ARAMARK BUSINESS SERVICES
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/21/2017,AP,E0486130,CITIBANK GOV CARD SERVICE,12/29/2016,1/28/2017,FOOD & BEVERAGE,1116.26,2017,CITIBANK GOV CARD SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0496738,CAPITOL  HOST,2/27/2017,2/27/2017,FOOD & BEVERAGE,1742.63,2017,CAPITOL  HOST
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/24/2017,AP,E0496725,CITIBANK GOV CARD SERVICE,1/29/2017,2/28/2017,FOOD & BEVERAGE,2580.03,2017,CITIBANK GOV CARD SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/5/2017,AP,E0473623,DOUBLETREE LOS ANGELES WESTSIDE,12/18/2016,12/18/2016,FOOD & BEVERAGE,11957.63,2016,DOUBLETREE LOS ANGELES WESTSIDE
B001281,HON. JOYCE BEATTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-SQ  SQ  JUST FOR THE O,11/29/2016,12/28/2016,FOOD & BEVERAGE,9164.18,2016,CITI PCARD-SQ  SQ  JUST FOR THE O
B001292,HON. DONALD S. BEYER  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0483285,CAPITOL  HOST,1/17/2017,1/17/2017,FOOD & BEVERAGE,1489,2017,CAPITOL  HOST
B000490,HON. SANFORD D. BISHOP  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DCE CATERING,1/29/2017,2/28/2017,FOOD & BEVERAGE,1730.46,2017,CITI PCARD-DCE CATERING
B000490,HON. SANFORD D. BISHOP  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/2/2017,AP,E0489875,GREEN ISLAND COUNTRY CLUB,12/20/2016,12/20/2016,FOOD & BEVERAGE,4976.29,2016,GREEN ISLAND COUNTRY CLUB
B001285,HON. JULIA BROWNLEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484180,ORGEL CHERYL L.,12/19/2016,12/19/2016,FOOD & BEVERAGE,1125,2016,ORGEL CHERYL L.
B001251,HON. G.K. BUTTERFIELD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/24/2017,AP,E0481325,CITIBANK GOV CARD SERVICE,12/12/2016,12/13/2016,FOOD & BEVERAGE,1091.36,2016,CITIBANK GOV CARD SERVICE
C001091,HON. JOAQUIN CASTRO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-LA HACIENDA DE LOS BAR,1/29/2017,2/28/2017,FOOD & BEVERAGE,3155.33,2017,CITI PCARD-LA HACIENDA DE LOS BAR
C000266,HON. STEVE CHABOT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,E0478165,MANOR HOUSE,12/29/2016,12/29/2016,FOOD & BEVERAGE,1525,2016,MANOR HOUSE
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/2/2017,AP,E0491965,FLEURIMOND CATERING INC,2/22/2017,2/22/2017,FOOD & BEVERAGE,2400,2017,FLEURIMOND CATERING INC
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,12/30/2016,12/30/2016,FOOD & BEVERAGE,1512.46,2016,BOISE CASCADE COMPANY
E000297,HON. ADRIANO ESPAILLAT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0493527,MELBA WILSON MCGILL,2/24/2017,2/24/2017,FOOD & BEVERAGE,1575,2017,MELBA WILSON MCGILL
G000578,HON. MATT GAETZ,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-GROVER TS BBQ,1/29/2017,2/28/2017,FOOD & BEVERAGE,2081.16,2017,CITI PCARD-GROVER TS BBQ
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478338,CAPITOL  HOST,1/3/2017,1/3/2017,FOOD & BEVERAGE,1475.23,2017,CAPITOL  HOST
H001050,HON. COLLEEN W. HANABUSA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/4/2017,AP,E0473895,BURGESS AMY E.,12/22/2016,12/22/2016,FOOD & BEVERAGE,1632.96,2016,BURGESS AMY E.
J000294,HON. HAKEEM S. JEFFRIES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/8/2017,AP,E0484591,LONG ISLAND UNIVERSITY,1/26/2017,1/26/2017,FOOD & BEVERAGE,7360.5,2017,LONG ISLAND UNIVERSITY
J000292,HON. BILL JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/2/2017,AP,E0489356,SALT FORK LODGE,2/8/2017,2/8/2017,FOOD & BEVERAGE,1746.2,2017,SALT FORK LODGE
J000126,HON. EDDIE BERNICE JOHNSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CAPITAL GRILLE,11/29/2016,12/28/2016,FOOD & BEVERAGE,2254.55,2016,CITI PCARD-CAPITAL GRILLE
J000288,"HON. HENRY C. ""HANK"" JOHNSON  JR.",2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/29/2017,AP,E0498616,FOWLER'S FOOD CONSULT & CATERING,3/3/2017,3/3/2017,FOOD & BEVERAGE,1232.5,2017,FOWLER'S FOOD CONSULT & CATERING
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HOLIDAY INN BANQUET,1/3/2017,1/28/2017,FOOD & BEVERAGE,1502.4,2017,CITI PCARD-HOLIDAY INN BANQUET
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FOOD FOR THOUGHT CATER,1/29/2017,2/28/2017,FOOD & BEVERAGE,1285.5,2017,CITI PCARD-FOOD FOR THOUGHT CATER
K000376,HON. ROBIN L. KELLY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CUBA LIBRE DC,11/29/2016,12/28/2016,FOOD & BEVERAGE,1817.85,2016,CITI PCARD-CUBA LIBRE DC
K000378,HON. ADAM KINZINGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/14/2017,AP,E0480374,COUNTRY CATERING,11/9/2016,11/9/2016,FOOD & BEVERAGE,1582.3,2016,COUNTRY CATERING
L000585,HON. DARIN LAHOOD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-MARRIOTT PERE PEORIA M,11/29/2016,12/28/2016,FOOD & BEVERAGE,2244.75,2016,CITI PCARD-MARRIOTT PERE PEORIA M
L000581,HON. BRENDA L. LAWRENCE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HOLIDAY MARKET,1/29/2017,2/28/2017,FOOD & BEVERAGE,1354.17,2017,CITI PCARD-HOLIDAY MARKET
L000551,HON. BARBARA LEE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/1/2017,AP,E0483353,NICKSON JULIE L.,1/21/2017,1/23/2017,FOOD & BEVERAGE,1604.42,2017,NICKSON JULIE L.
L000287,HON. JOHN LEWIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-STEP BY STEP CATERING,1/3/2017,1/28/2017,FOOD & BEVERAGE,1046,2017,CITI PCARD-STEP BY STEP CATERING
L000287,HON. JOHN LEWIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-STEP BY STEP CATERING,11/29/2016,12/28/2016,FOOD & BEVERAGE,6000,2016,CITI PCARD-STEP BY STEP CATERING
L000579,HON. ALAN S. LOWENTHAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-APPLE SPICE JUNCTION,1/29/2017,2/28/2017,FOOD & BEVERAGE,1796.17,2017,CITI PCARD-APPLE SPICE JUNCTION
L000569,HON. BLAINE LUETKEMEYER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/13/2017,AP,E0486457,CAPITOL  HOST,1/27/2017,1/27/2017,FOOD & BEVERAGE,3487,2017,CAPITOL  HOST
L000580,HON. MICHELLE LUJAN GRISHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CAFE LUSH,1/29/2017,2/28/2017,FOOD & BEVERAGE,2610.36,2017,CITI PCARD-CAFE LUSH
M001185,HON. SEAN PATRICK MALONEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906777,BOISE CASCADE COMPANY,2/6/2017,2/6/2017,FOOD & BEVERAGE,1320.39,2017,BOISE CASCADE COMPANY
P000601,HON. STEVEN M. PALAZZO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/1/2017,AP,E0489158,MGCCC,10/8/2016,10/8/2016,FOOD & BEVERAGE,1543.88,2016,MGCCC
P000606,HON. ROBERT PITTENGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,897331,OCCASIONS CATERERS INC,12/7/2016,12/7/2016,FOOD & BEVERAGE,4425,2016,OCCASIONS CATERERS INC
P000606,HON. ROBERT PITTENGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,897332,OCCASIONS CATERERS INC,12/7/2016,12/7/2016,FOOD & BEVERAGE,3220,2016,OCCASIONS CATERERS INC
P000602,HON. MIKE POMPEO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/3/2017,AP,E0487930,COMPASS GROUP USA INC,1/27/2017,1/27/2017,FOOD & BEVERAGE,2658,2017,COMPASS GROUP USA INC
R000585,HON. TOM REED,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,896898,DISTRICT CHOPHOUSE & BREWERY,12/12/2016,12/12/2016,FOOD & BEVERAGE,1004.2,2016,DISTRICT CHOPHOUSE & BREWERY
R000515,HON. BOBBY L. RUSH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-DEL FRISCOS,1/3/2017,1/28/2017,FOOD & BEVERAGE,2061,2017,CITI PCARD-DEL FRISCOS
R000515,HON. BOBBY L. RUSH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-PREMIER CATERING AND E,1/3/2017,1/28/2017,FOOD & BEVERAGE,2112.89,2017,CITI PCARD-PREMIER CATERING AND E
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-SQ  JON WRIGHT,1/3/2017,1/28/2017,FOOD & BEVERAGE,6000,2017,CITI PCARD-SQ  JON WRIGHT
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-00881CITYCLUBBIRMINF&B,1/29/2017,2/28/2017,FOOD & BEVERAGE,1230.97,2017,CITI PCARD-00881CITYCLUBBIRMINF&B
S001185,HON. TERRI A. SEWELL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/12/2017,AP,E0475516,DEER PARK WATER,12/15/2016,12/15/2016,FOOD & BEVERAGE,1535.04,2016,DEER PARK WATER
S001192,HON. CHRIS STEWART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CAPITALDNGCTRG,1/29/2017,2/28/2017,FOOD & BEVERAGE,1655.29,2017,CITI PCARD-CAPITALDNGCTRG
W000822,HON. BONNIE WATSON COLEMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-THE HAMILTON,1/29/2017,2/28/2017,FOOD & BEVERAGE,2188.6,2017,CITI PCARD-THE HAMILTON
W000822,HON. BONNIE WATSON COLEMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-MARSILIO'S KITCHEN,11/29/2016,12/28/2016,FOOD & BEVERAGE,1387,2016,CITI PCARD-MARSILIO'S KITCHEN
W000800,HON. PETER WELCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0495950,HON. PETER WELCH,2/8/2017,2/8/2017,FOOD & BEVERAGE,2887.5,2017,HON. PETER WELCH
W000800,HON. PETER WELCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-N M A I,1/29/2017,2/28/2017,FOOD & BEVERAGE,1344.5,2017,CITI PCARD-N M A I
,COMMITTEE ON FINANCIAL SERVICE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0483698,AC HOTEL WASHINGTON DC @ NATIONAL HARBOR,1/22/2017,1/23/2017,FOOD & BEVERAGE,2993.11,2017,AC HOTEL WASHINGTON DC @ NATIONAL HARBOR
,COMMITTEE ON FINANCIAL SERVICE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/9/2017,AP,E0494607,OUERTATANI CHARLA,2/8/2017,2/8/2017,FOOD & BEVERAGE,2877,2017,OUERTATANI CHARLA
,HOUSE ADMINISTRATION,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/5/2017,AP,E0474253,CAPITOL  HOST,11/30/2016,11/30/2016,FOOD & BEVERAGE,2591.38,2016,CAPITOL  HOST
,COMMITTEE ON RULES,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CAPITOL HOST,1/3/2017,1/28/2017,FOOD & BEVERAGE,1623.33,2017,CITI PCARD-CAPITOL HOST
